 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"421105 MONTE CARLO";-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"421110 MONTE CASTELO";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;8
"421120 MORRO DA FUMACA";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"421125 MORRO GRANDE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421130 NAVEGANTES";-;-;-;-;52;9;2;-;-;-;-;-;-;-;3;-;2;-;-;1;-;-;3;-;-;-;-;72
"421140 NOVA ERECHIM";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421145 NOVA ITABERABA";-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"421150 NOVA TRENTO";-;-;-;-;12;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;17
"421160 NOVA VENEZA";-;-;-;-;6;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;11
"421165 NOVO HORIZONTE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"421170 ORLEANS";-;-;-;-;16;3;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;1;24
"421175 OTACILIO COSTA";-;-;-;-;11;2;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;3;-;-;-;-;19
"421180 OURO";-;-;-;-;8;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"421185 OURO VERDE";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"421187 PAIAL";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421189 PAINEL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421190 PALHOCA";-;-;-;2;106;13;4;-;-;-;-;6;1;-;7;-;1;-;-;3;-;-;6;-;-;-;-;149
"421200 PALMA SOLA";-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421205 PALMEIRA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421210 PALMITOS";-;-;-;-;24;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;29
"421220 PAPANDUVA";-;-;-;1;13;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"421223 PARAISO";-;-;-;-;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"421225 PASSO DE TORRES";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421227 PASSOS MAIA";-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;6
"421230 PAULO LOPES";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"421240 PEDRAS GRANDES";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421250 PENHA";-;-;-;-;22;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;26
"421260 PERITIBA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"421265 PESCARIA BRAVA";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"421270 PETROLANDIA";-;-;-;-;5;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;10
"421280 BALNEARIO PICARRAS";-;-;-;-;10;2;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;15
"421290 PINHALZINHO";-;-;-;-;13;1;1;2;-;-;-;-;-;-;1;-;-;-;-;2;-;-;2;-;-;-;-;22
"421300 PINHEIRO PRETO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"421310 PIRATUBA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"421315 PLANALTO ALEGRE";-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"421320 POMERODE";-;-;-;2;19;2;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;28
"421330 PONTE ALTA";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"421335 PONTE ALTA DO NORTE";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421340 PONTE SERRADA";-;-;-;1;12;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;18
"421350 PORTO BELO";-;-;-;-;15;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;18
"421360 PORTO UNIAO";-;-;-;1;34;12;-;2;-;-;-;-;-;-;2;1;-;-;-;2;-;-;2;2;-;-;-;58
"421370 POUSO REDONDO";-;-;-;-;14;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;20
"421380 PRAIA GRANDE";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421390 PRESIDENTE CASTELLO BRANCO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421400 PRESIDENTE GETULIO";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421410 PRESIDENTE NEREU";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421415 PRINCESA";-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"421420 QUILOMBO";-;-;-;1;2;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;8
"421430 RANCHO QUEIMADO";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421440 RIO DAS ANTAS";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"421450 RIO DO CAMPO";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;8
"421460 RIO DO OESTE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;4
"421470 RIO DOS CEDROS";-;-;-;-;8;1;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;15
"421480 RIO DO SUL";-;-;-;-;35;9;2;-;-;-;-;-;-;-;-;-;2;1;-;2;-;-;4;-;-;-;-;55
"421490 RIO FORTUNA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"421500 RIO NEGRINHO";-;1;-;1;17;7;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;3;1;-;-;-;34
"421505 RIO RUFINO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"421507 RIQUEZA";-;-;-;-;4;2;1;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;11
"421510 RODEIO";-;1;-;-;5;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"421520 ROMELANDIA";-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"421530 SALETE";-;-;-;-;2;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;8
"421535 SALTINHO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421540 SALTO VELOSO";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;6
"421545 SANGAO";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;13
"421550 SANTA CECILIA";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;11
"421555 SANTA HELENA";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421560 SANTA ROSA DE LIMA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421565 SANTA ROSA DO SUL";-;-;-;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"421567 SANTA TEREZINHA";-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421569 SANTIAGO DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421570 SANTO AMARO DA IMPERATRIZ";-;-;-;-;21;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;27
"421575 SAO BERNARDINO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421580 SAO BENTO DO SUL";-;1;-;1;40;4;1;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;6;1;-;-;-;59
"421590 SAO BONIFACIO";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421600 SAO CARLOS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421605 SAO CRISTOVAO DO SUL";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;9
"421610 SAO DOMINGOS";-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;11
"421620 SAO FRANCISCO DO SUL";-;-;-;-;40;6;1;2;-;-;-;1;-;-;1;2;-;-;-;1;-;-;1;-;-;-;-;55
"421625 SAO JOAO DO OESTE";-;-;-;1;10;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"421630 SAO JOAO BATISTA";-;-;-;-;13;4;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;19
"421635 SAO JOAO DO ITAPERIU";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"421640 SAO JOAO DO SUL";-;-;-;-;6;3;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;13
"421650 SAO JOAQUIM";-;-;-;-;15;6;1;1;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;27
"421660 SAO JOSE";-;4;-;8;127;28;5;-;-;1;-;1;2;-;4;5;1;-;-;9;-;-;9;-;-;-;-;204
"421670 SAO JOSE DO CEDRO";-;-;-;-;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;11
"421680 SAO JOSE DO CERRITO";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;11
"421690 SAO LOURENCO DO OESTE";-;-;-;-;16;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;24
"421700 SAO LUDGERO";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"421710 SAO MARTINHO";-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"421715 SAO MIGUEL DA BOA VISTA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421720 SAO MIGUEL DO OESTE";-;-;-;3;33;2;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;1;4;-;-;-;-;47
"421725 SAO PEDRO DE ALCANTARA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421730 SAUDADES";-;-;-;-;10;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;13
"421740 SCHROEDER";-;1;-;-;12;2;-;-;-;-;-;-;1;-;1;1;-;1;-;2;-;-;-;-;-;-;-;21
"421750 SEARA";-;-;-;-;13;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;18
"421755 SERRA ALTA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"421760 SIDEROPOLIS";-;-;-;-;9;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;13
"421770 SOMBRIO";-;-;-;3;16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;24
"421780 TAIO";1;-;-;-;9;2;1;-;-;-;-;-;1;-;-;2;-;-;-;2;-;-;1;-;-;-;-;19
"421790 TANGARA";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;8
"421795 TIGRINHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"421800 TIJUCAS";-;-;-;-;20;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;24
"421810 TIMBE DO SUL";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"421820 TIMBO";-;-;-;-;20;2;3;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;2;-;-;-;-;30
"421825 TIMBO GRANDE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421830 TRES BARRAS";-;-;-;-;13;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;18
"421835 TREVISO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421840 TREZE DE MAIO";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"421850 TREZE TILIAS";-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"421860 TROMBUDO CENTRAL";-;-;-;-;6;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"421870 TUBARAO";1;-;-;-;78;12;1;2;-;-;-;1;-;-;1;7;2;-;-;5;-;-;7;-;-;-;-;117
"421875 TUNAPOLIS";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421880 TURVO";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;12
"421885 UNIAO DO OESTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421890 URUBICI";-;-;-;-;7;1;1;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;3;-;-;-;-;16
"421895 URUPEMA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421900 URUSSANGA";-;-;-;-;12;2;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;18
"421910 VARGEAO";-;-;-;-;2;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"421915 VARGEM";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421917 VARGEM BONITA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421920 VIDAL RAMOS";-;-;-;-;10;2;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;15
"421930 VIDEIRA";-;-;-;-;31;7;3;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;46
"421935 VITOR MEIRELES";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"421940 WITMARSUM";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421950 XANXERE";-;-;-;-;35;6;3;1;-;-;-;1;-;-;1;2;3;-;-;3;-;-;1;-;-;-;-;56
"421960 XAVANTINA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"421970 XAXIM";-;-;-;-;28;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;33
"421985 ZORTEA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"422000 BALNEARIO RINCAO";-;-;-;-;14;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;20
"430003 ACEGUA";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"430005 AGUA SANTA";-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"430010 AGUDO";-;-;-;-;17;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"430020 AJURICABA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"430030 ALECRIM";-;-;-;-;11;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"430040 ALEGRETE";-;-;-;1;51;10;2;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;1;-;-;-;69
"430045 ALEGRIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;4
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"430050 ALPESTRE";-;-;-;-;7;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430055 ALTO ALEGRE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430057 ALTO FELIZ";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430060 ALVORADA";-;-;-;1;139;24;3;2;-;-;-;3;-;-;4;6;2;-;-;2;-;-;11;-;-;1;4;202
"430063 AMARAL FERRADOR";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"430064 AMETISTA DO SUL";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430066 ANDRE DA ROCHA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"430070 ANTA GORDA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"430080 ANTONIO PRADO";-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"430085 ARAMBARE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"430087 ARARICA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"430090 ARATIBA";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430100 ARROIO DO MEIO";-;-;-;-;13;3;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;1;-;-;-;-;21
"430105 ARROIO DO SAL";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"430107 ARROIO DO PADRE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"430110 ARROIO DOS RATOS";-;-;-;-;9;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"430120 ARROIO DO TIGRE";-;-;-;-;10;2;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;15
"430130 ARROIO GRANDE";-;-;-;-;12;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"430140 ARVOREZINHA";-;-;-;-;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"430150 AUGUSTO PESTANA";-;-;-;-;5;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430155 AUREA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430160 BAGE";-;-;-;-;92;31;5;-;-;-;-;6;-;-;3;4;1;1;-;1;-;-;1;4;-;-;-;149
"430163 BALNEARIO PINHAL";-;-;-;-;11;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"430165 BARAO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430170 BARAO DE COTEGIPE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3
"430175 BARAO DO TRIUNFO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"430180 BARRACAO";-;-;-;-;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"430185 BARRA DO GUARITA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"430187 BARRA DO QUARAI";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"430190 BARRA DO RIBEIRO";-;-;-;-;4;2;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;10
"430192 BARRA DO RIO AZUL";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"430195 BARRA FUNDA";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430200 BARROS CASSAL";-;-;-;-;9;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430210 BENTO GONCALVES";-;-;-;-;43;12;1;-;-;-;-;1;1;-;4;1;2;-;-;5;-;-;6;1;-;-;-;77
"430215 BOA VISTA DAS MISSOES";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430220 BOA VISTA DO BURICA";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"430223 BOA VISTA DO INCRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
"430225 BOA VISTA DO SUL";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430230 BOM JESUS";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"430235 BOM PRINCIPIO";-;-;-;1;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"430237 BOM PROGRESSO";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430240 BOM RETIRO DO SUL";-;-;-;-;10;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13
"430245 BOQUEIRAO DO LEAO";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"430250 BOSSOROCA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430258 BOZANO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430260 BRAGA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430265 BROCHIER";-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;8
"430270 BUTIA";-;-;-;-;14;3;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;20
"430280 CACAPAVA DO SUL";-;-;-;-;20;6;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3;-;-;-;1;32
"430290 CACEQUI";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"430300 CACHOEIRA DO SUL";-;-;-;-;71;18;4;-;-;-;-;-;-;-;1;5;1;-;-;5;-;-;5;4;-;-;-;114
