 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"430640 DOIS IRMAOS";-;-;-;-;15;3;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;23
"430642 DOIS IRMAOS DAS MISSOES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"430645 DOIS LAJEADOS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430650 DOM FELICIANO";-;-;-;-;11;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;14
"430655 DOM PEDRO DE ALCANTARA";-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430660 DOM PEDRITO";-;-;-;-;52;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;57
"430670 DONA FRANCISCA";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"430673 DOUTOR MAURICIO CARDOSO";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;11
"430675 DOUTOR RICARDO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430676 ELDORADO DO SUL";-;-;-;-;20;6;1;-;-;-;-;-;-;-;2;-;2;-;-;1;-;-;-;-;-;-;32
"430680 ENCANTADO";-;-;-;-;8;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"430690 ENCRUZILHADA DO SUL";-;-;-;-;17;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;21
"430692 ENGENHO VELHO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430693 ENTRE-IJUIS";-;-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;12
"430695 ENTRE RIOS DO SUL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430697 EREBANGO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"430700 ERECHIM";-;-;-;3;55;13;4;1;-;-;-;1;3;-;-;-;3;-;-;1;-;-;7;2;-;-;93
"430705 ERNESTINA";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"430710 HERVAL";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"430720 ERVAL GRANDE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"430730 ERVAL SECO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5
"430740 ESMERALDA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"430745 ESPERANCA DO SUL";-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"430750 ESPUMOSO";-;-;-;1;6;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"430755 ESTACAO";-;-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"430760 ESTANCIA VELHA";-;-;-;4;20;10;-;-;-;-;-;-;1;-;1;2;-;1;-;-;-;-;1;-;-;-;40
"430770 ESTEIO";-;-;-;2;45;12;1;1;-;-;-;-;-;-;5;11;-;1;1;1;-;-;2;1;-;-;83
"430780 ESTRELA";-;-;-;-;19;1;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;25
"430781 ESTRELA VELHA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430783 EUGENIO DE CASTRO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430790 FARROUPILHA";-;-;-;-;35;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;4;-;-;-;42
"430800 FAXINAL DO SOTURNO";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"430805 FAXINALZINHO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430807 FAZENDA VILANOVA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430810 FELIZ";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"430820 FLORES DA CUNHA";-;-;-;-;9;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"430830 FONTOURA XAVIER";-;-;-;-;3;2;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;9
"430840 FORMIGUEIRO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"430843 FORQUETINHA";-;-;-;-;4;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"430845 FORTALEZA DOS VALOS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430850 FREDERICO WESTPHALEN";-;-;-;-;21;4;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;1;1;-;-;31
"430860 GARIBALDI";-;-;-;-;8;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"430865 GARRUCHOS";-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430870 GAURAMA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"430880 GENERAL CAMARA";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"430885 GENTIL";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430890 GETULIO VARGAS";-;-;-;-;9;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"430900 GIRUA";-;-;-;-;14;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;18
"430905 GLORINHA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430910 GRAMADO";-;-;-;-;14;6;2;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;1;-;-;-;27
"430912 GRAMADO DOS LOUREIROS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"430915 GRAMADO XAVIER";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430920 GRAVATAI";-;-;-;-;120;28;11;4;-;-;-;2;8;-;6;8;5;4;-;3;-;-;10;-;1;1;211
"430925 GUABIJU";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430930 GUAIBA";-;1;-;4;40;10;2;2;-;-;-;1;1;-;3;4;1;-;-;1;-;-;5;-;-;-;75
"430940 GUAPORE";-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;2;-;-;-;12
"430950 GUARANI DAS MISSOES";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"430955 HARMONIA";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430957 HERVEIRAS";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430960 HORIZONTINA";-;-;-;-;14;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"430965 HULHA NEGRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430970 HUMAITA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"430975 IBARAMA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430980 IBIACA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430990 IBIRAIARAS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430995 IBIRAPUITA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"431000 IBIRUBA";-;-;-;-;13;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;16
"431010 IGREJINHA";-;-;-;3;19;5;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;30
"431020 IJUI";-;-;-;2;33;8;7;2;-;-;-;1;-;-;4;1;2;-;-;-;-;-;1;1;-;-;62
"431030 ILOPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431033 IMBE";-;-;-;-;39;3;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;2;-;-;-;48
"431036 IMIGRANTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"431040 INDEPENDENCIA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"431041 INHACORA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431043 IPE";1;-;-;-;3;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"431046 IPIRANGA DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431050 IRAI";-;-;-;1;9;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;14
"431053 ITAARA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431055 ITACURUBI";-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431057 ITAPUCA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431060 ITAQUI";-;-;-;-;30;7;-;2;-;-;-;-;-;-;2;2;-;-;-;1;-;-;1;-;-;-;45
"431065 ITATI";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431070 ITATIBA DO SUL";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"431075 IVORA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431080 IVOTI";-;-;-;-;9;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"431085 JABOTICABA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431087 JACUIZINHO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431100 JAGUARAO";-;-;-;-;13;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"431110 JAGUARI";-;-;-;1;8;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;15
"431112 JAQUIRANA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431113 JARI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431115 JOIA";-;-;-;-;3;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"431120 JULIO DE CASTILHOS";-;-;-;1;13;6;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;23
"431123 LAGOA BONITA DO SUL";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431125 LAGOAO";-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431127 LAGOA DOS TRES CANTOS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"431130 LAGOA VERMELHA";-;-;-;-;19;3;-;1;-;-;-;-;1;-;1;1;1;-;-;2;-;-;2;1;-;-;32
"431140 LAJEADO";-;-;-;-;24;6;2;-;-;-;-;-;1;-;1;3;1;-;-;-;-;-;2;-;-;-;40
"431142 LAJEADO DO BUGRE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"431150 LAVRAS DO SUL";-;-;-;-;2;2;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"431160 LIBERATO SALZANO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431162 LINDOLFO COLLOR";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431164 LINHA NOVA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431170 MACHADINHO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431171 MACAMBARA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"431173 MAMPITUBA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431175 MANOEL VIANA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431177 MAQUINE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431180 MARAU";-;-;-;1;16;6;3;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;29
"431190 MARCELINO RAMOS";-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;7
"431198 MARIANA PIMENTEL";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431200 MARIANO MORO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"431205 MARQUES DE SOUZA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431210 MATA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"431213 MATO CASTELHANO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;6
"431215 MATO LEITAO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431217 MATO QUEIMADO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431220 MAXIMILIANO DE ALMEIDA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"431225 MINAS DO LEAO";-;-;-;-;9;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"431230 MIRAGUAI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;4
"431235 MONTAURI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431237 MONTE ALEGRE DOS CAMPOS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"431238 MONTE BELO DO SUL";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431240 MONTENEGRO";-;-;-;-;37;2;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;2;-;-;-;44
"431242 MORMACO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431244 MORRINHOS DO SUL";-;-;-;-;3;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"431245 MORRO REDONDO";-;-;-;-;4;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"431247 MORRO REUTER";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431250 MOSTARDAS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4
"431260 MUCUM";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431265 NAO-ME-TOQUE";-;-;-;-;14;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;19
"431267 NICOLAU VERGUEIRO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431270 NONOAI";-;-;-;-;9;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;14
"431275 NOVA ALVORADA";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"431280 NOVA ARACA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"431290 NOVA BASSANO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431300 NOVA BRESCIA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431301 NOVA CANDELARIA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431303 NOVA ESPERANCA DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431306 NOVA HARTZ";-;-;-;-;9;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"431310 NOVA PALMA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"431320 NOVA PETROPOLIS";-;1;-;-;15;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;23
"431330 NOVA PRATA";-;-;-;-;8;3;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;16
"431333 NOVA RAMADA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431335 NOVA ROMA DO SUL";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431337 NOVA SANTA RITA";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"431339 NOVO CABRAIS";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"431340 NOVO HAMBURGO";-;-;-;-;104;46;4;4;-;-;-;1;6;-;5;3;4;2;1;-;1;-;10;2;-;-;193
"431342 NOVO MACHADO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431344 NOVO TIRADENTES";-;-;-;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;7
"431349 NOVO BARREIRO";-;-;-;-;2;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;6
"431350 OSORIO";-;-;-;1;30;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"431360 PAIM FILHO";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"431365 PALMARES DO SUL";-;-;-;-;15;2;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"431370 PALMEIRA DAS MISSOES";-;-;-;-;15;9;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;28
"431380 PALMITINHO";-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;11
"431390 PANAMBI";-;-;-;-;21;3;3;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;30
"431395 PANTANO GRANDE";-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;7
"431400 PARAI";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6
"431402 PARAISO DO SUL";-;-;-;1;4;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;8
"431403 PARECI NOVO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431405 PAROBE";-;-;-;-;35;7;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;44
"431406 PASSA SETE";-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431407 PASSO DO SOBRADO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"431410 PASSO FUNDO";-;1;-;16;110;27;8;3;-;-;-;4;1;-;6;6;1;1;-;8;-;-;15;3;-;-;210
"431413 PAULO BENTO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431415 PAVERAMA";-;-;-;-;6;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;11
"431420 PEDRO OSORIO";-;-;-;-;10;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;14
"431430 PEJUCARA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431440 PELOTAS";-;1;-;-;148;24;16;2;-;-;-;2;-;-;5;10;4;-;-;3;1;-;9;3;-;1;229
"431442 PICADA CAFE";-;-;-;-;5;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;9
"431445 PINHAL";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431446 PINHAL DA SERRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431447 PINHAL GRANDE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"431449 PINHEIRINHO DO VALE";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"431450 PINHEIRO MACHADO";-;-;-;-;10;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"431455 PIRAPO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431460 PIRATINI";-;-;-;-;13;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;19
"431470 PLANALTO";-;-;-;-;9;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"431475 POCO DAS ANTAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431477 PONTAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;3
"431478 PONTE PRETA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431480 PORTAO";-;-;-;-;16;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;21
"431490 PORTO ALEGRE";-;-;-;23;641;177;48;19;-;-;-;21;9;-;27;19;20;2;-;11;1;-;49;4;-;6;1077
"431500 PORTO LUCENA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"431505 PORTO MAUA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"431507 PORTO VERA CRUZ";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431510 PORTO XAVIER";-;-;-;-;9;-;2;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;15
"431513 POUSO NOVO";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431514 PRESIDENTE LUCENA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431515 PROGRESSO";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"431517 PROTASIO ALVES";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431520 PUTINGA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431530 QUARAI";-;-;-;-;13;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;16
"431540 REDENTORA";-;-;-;-;7;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"431545 RELVADO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431550 RESTINGA SECA";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
